日付,カテゴリ,小項目,金額,場所,商品名・メモ
2023-01-01,ローン,ローン住居,110000,イオン銀行,ローン
2023-01-01,ローン,ローン家電,11302,楽天銀行,Macローン
2023-01-01,保険,AIG損保,4410,哲太楽天銀行,車両保険(AIG損保)
2023-01-01,保険,アクサダイレクト,3280,哲太楽天銀行,アクサダイレクト
2023-01-01,保険,哲太メットライフ,5797,哲太楽天銀行,哲太メットライフ
2023-01-01,保険,奈月メットライフ,8467,楽天カード,奈月メットライフ
2023-01-01,光熱費,下水道,3642,コンビニ,下水道（2ヶ月毎）
2023-01-01,光熱費,水道,5520,りそな銀行,水道局（2ヶ月毎）
2023-01-01,光熱費,電気,9391,楽天カード,東京電力
2023-01-01,光熱費,ガス,19072,楽天カード,東京ガス
2023-01-01,通信費,通信,687,楽天カード,ソネット
2023-01-01,通信費,通信,5390,楽天カード,ソネット
2023-01-01,通信費,ケータイ,3246,楽天カード,楽天モバイル
2023-01-01,通信費,ケータイ,8106,哲太カード,楽天モバイル
2023-01-01,レジャー,趣味,26400,楽天銀行,アキュラシーゴルフ
2023-01-01,経費,tetta,6136,哲太楽天,哲太社用ケータイ
2023-01-01,経費,tetta,26000,哲太出社時食事代（出社日数＊2000円）,13.0
2023-01-01,経費,tetta,1200,翻訳アプリ,哲太経費
2023-01-01,経費,tetta,1496,Googleアプリ,哲太経費
2023-01-01,美容,美容その他,7500,現金,哲太整骨院
2023-01-01,食品,魚類・貝類,6122,タカマル鮮魚店,ブリ、マグロなど
2023-01-01,食品,お菓子類,928,ビアード・パパ,シュークリーム
2023-01-01,ガソリン・ETC,ガソリン,6518,Enejet,ガソリン
2023-01-01,食品,葉物・生鮮野菜,234,アリオ,キャベツ
2023-01-01,食品,葉物・生鮮野菜,151,アリオ,白菜
2023-01-01,食品,根菜,94,アリオ,大根
2023-01-01,食品,根菜,293,アリオ,長ネギ
2023-01-01,食品,葉物・生鮮野菜,385,アリオ,みず菜
2023-01-01,食品,葉物・生鮮野菜,234,アリオ,小ねぎ
2023-01-01,食品,野菜その他,174,アリオ,えのき
2023-01-01,食品,野菜その他,115,アリオ,エリンギ
2023-01-02,外食費,To Go,2682,イオン,駅弁
2023-01-02,外食費,To Go,570,マクド,コーヒー、ソフトクリームなど
2023-01-02,衣類,natsukiインナー,1408,しまむら,スリッパ、靴下など
2023-01-02,食品,ドリンク,16500,コスモス薬局,響
2023-01-02,経費,tetta,4290,コスモス薬局,クリーム、歯ブラシなど哲太海外出張準備
2023-01-02,経費,tetta,330,ダイソー,紙コップなど
2023-01-02,食品,葉物・生鮮野菜,217,ベルク,レタス
2023-01-02,食品,根菜,217,ベルク,ごぼう
2023-01-02,食品,葉物・生鮮野菜,327,ベルク,春菊
2023-01-02,食品,魚類・貝類,552,ベルク,鯛刺し身
2023-01-02,食品,肉類,473,ベルク,豚しゃぶしゃぶ肉
2023-01-02,食品,肉類,647,ベルク,豚しゃぶしゃぶ肉
2023-01-02,食品,肉類,315,ベルク,鶏むね肉
2023-01-02,食品,肉類,386,ベルク,鶏むね肉
2023-01-02,食品,お菓子類,195,ベルク,柿の種
2023-01-02,食品,お菓子類,217,ベルク,チョコ
2023-01-02,食品,牛乳・乳製品,195,ベルク,ヨーグルト
2023-01-02,食品,豆腐・納豆類,107,ベルク,納豆
2023-01-02,食品,豆腐・納豆類,118,ベルク,豆腐
2023-01-02,食品,野菜その他,108,ベルク,お新香
2023-01-03,外食費,To Go,326,セブン,コーヒーなど
2023-01-03,外食費,外食,1110,ジョイフル本田,コーヒ、ケーキなど
2023-01-03,外食費,外食,2390,魚べい,魚べい
2023-01-03,衣類,tetta衣類,8035,ユニクロ,哲太セーターなど
2023-01-03,衣類,tetta衣類,2990,ユニクロ,哲太パンツ
2023-01-03,医療費,医療費その他,6980,楽天,マッサージガン
2023-01-03,家具・家電,家具家電その他,1980,楽天,空気入れ
2023-01-03,レジャー,趣味,55000,楽天,パター練習
2023-01-03,美容,美容その他,1680,楽天,サプリ
2023-01-03,経費,tetta,4504,Amazon,機内用枕首、腰
2023-01-03,経費,tetta,2239,Amazon,ケトル
