日付,カテゴリ,小項目,金額,場所,商品名・メモ
2021-01-01,ローン,ローン住居,110000,イオン銀行,ローン
2021-01-01,ローン,ローン家電,11302,楽天銀行,Macローン
2021-01-01,保険,AIG損保,4410,哲太楽天銀行,車両保険(AIG損保)
2021-01-01,保険,アクサダイレクト,3280,哲太楽天銀行,アクサダイレクト
2021-01-01,保険,哲太メットライフ,5797,哲太楽天銀行,哲太メットライフ
2021-01-01,保険,奈月メットライフ,8467,楽天カード,奈月メットライフ
2021-01-01,光熱費,下水道,4237,コンビニ,下水道（2ヶ月毎）
2021-01-01,光熱費,水道,6340,りそな銀行,水道局（2ヶ月毎）
2021-01-01,光熱費,電気,8327,楽天カード,楽天でんき
2021-01-01,光熱費,ガス,16781,楽天カード,東京ガス
2021-01-01,通信費,通信,687,楽天カード,ソネット
2021-01-01,通信費,通信,3361,楽天カード,ソネット
2021-01-01,通信費,ケータイ,1987,楽天カード,楽天モバイル
2021-01-01,食品,調味料,4158,Nespresso,コーヒー
2021-01-01,食品,粉類,105,セブン,豆腐
2021-01-01,食品,食品その他,400,セブン,お菓子
2021-01-01,車関連【車検・税金・積立】,車関連その他,4000,哲太カード,JAF
2021-01-03,車関連【車検・税金・積立】,車関連その他,700,出光,ポリマーコート
2021-01-03,外食費,外食,2959,師記,台湾料理
2021-01-03,日用品,洗剤類,660,イオン,洗濯マグちゃんネット
2021-01-03,衣類,衣類その他,3003,イオン,帽子
2021-01-03,食品,お菓子類,321,イオン,カステラ
2021-01-03,外食費,To Go,100,セブン,コーヒー
2021-01-03,ガソリン・ETC,ETC,510,ETC,成田　佐原香取
2021-01-03,ガソリン・ETC,ETC,510,ETC,成田　佐原香取
2021-01-04,外食費,外食,4235,はな膳,はな膳
2021-01-04,外食費,To Go,367,キーコーヒー,コーヒー
2021-01-04,レジャー,おでかけ,1000,BIG HOP,観覧車
2021-01-04,日用品,掃除用品,110,セリア,バススポンジ
2021-01-04,日用品,衛生用品,110,セリア,ウエットティッシュふた
2021-01-04,日用品,衛生用品,220,セリア,除菌シート
2021-01-05,食品,野菜その他,106,ヤオコー,にんにく
2021-01-05,食品,豆腐・納豆類,96,ヤオコー,豆腐
2021-01-05,食品,魚類・貝類,246,ヤオコー,いわし
2021-01-05,食品,葉物・生鮮野菜,429,ヤオコー,七草セット
2021-01-05,食品,お菓子類,106,ヤオコー,ドーナツ
2021-01-05,食品,たまご,162,ヤオコー,たまご
2021-01-05,食品,たまご,162,ヤオコー,たまご
2021-01-05,食品,調味料,297,ヤオコー,ジンジャーパウダー
2021-01-05,食品,葉物・生鮮野菜,130,わくわく広場,レタス
2021-01-05,食品,葉物・生鮮野菜,130,わくわく広場,レタス
2021-01-06,医療費,診察料,9230,婦人科,奈月　ポリープ
2021-01-06,食品,牛乳・乳製品,378,KALDI,ブリーチーズ
2021-01-06,食品,お菓子類,322,ロピア,おかきセット
2021-01-06,食品,葉物・生鮮野菜,108,ロピア,小松菜
2021-01-06,食品,葉物・生鮮野菜,108,ロピア,サニーレタス
2021-01-06,食品,葉物・生鮮野菜,108,ロピア,サニーレタス
2021-01-06,食品,野菜その他,106,ロピア,えのき
2021-01-06,食品,肉類,787,ロピア,ひき肉
2021-01-06,食品,肉類,582,ロピア,豚肩ロース
2021-01-06,食品,肉類,718,ロピア,鶏胸肉
2021-01-07,日用品,バス用品,327,クリエイト,バスマジックリン
2021-01-07,日用品,衛生用品,547,クリエイト,マスク
2021-01-07,食品,肉類,758,ロピア,国産豚切り落とし
2021-01-07,食品,豆腐・納豆類,74,ロピア,納豆
2021-01-07,食品,牛乳・乳製品,117,ロピア,ヨーグルト
2021-01-07,食品,根菜,108,ロピア,大根
2021-01-08,食品,お菓子類,193,ロピア,ポテチ
2021-01-08,食品,パン,171,ロピア,フランスパン
2021-01-08,食品,調味料,322,ロピア,はちみつ
2021-01-08,食品,麺類,85,ロピア,マカロニ
2021-01-08,食品,魚類・貝類,321,ロピア,イワシ
2021-01-08,食品,葉物・生鮮野菜,162,ロピア,小松菜
2021-01-09,外食費,To Go,672,セブンイレブン,パン・コーヒーなど
2021-01-09,医療費,診察料,1610,循環器科,哲太　検査
2021-01-09,衣類,natsuki衣類,25740,酒々井アウトレット,奈月　Poloセーター、シャツ
2021-01-09,衣類,natsuki衣類,12100,酒々井アウトレット,奈月　ジャケット
2021-01-09,外食費,外食,2130,酒々井アウトレット,神座
2021-01-09,衣類,natsuki衣類,3289,イオン,奈月　シャツ
2021-01-09,衣類,natsuki衣類,1650,イオン,奈月　ブラウス
2021-01-09,美容,コスメ,1980,イオン,日焼け止め
2021-01-09,日用品,キッチン用品,1300,イオン,無印　ウッド皿
2021-01-09,外食費,外食,792,イオン,スタバ
2021-01-09,外食費,外食,1870,スシロー,スシロー
2021-01-09,ガソリン・ETC,ETC,130,ETC,はなわ
2021-01-09,ガソリン・ETC,ETC,950,ETC,ミヤノギ　酒々井
2021-01-10,日用品,日用品その他,500,コインランドリー,乾燥機
2021-01-10,外食費,外食,900,コメダ珈琲,コメダ珈琲
2021-01-10,日用品,薬類,192,マツキヨ,のど飴
2021-01-10,外食費,外食,6556,牛角,焼き肉
2021-01-11,日用品,日用品その他,500,コインランドリー,乾燥機
2021-01-11,外食費,外食,900,コメダ珈琲,コーヒー
2021-01-11,日用品,洗剤類,305,クリエイト,除菌ジョイ
2021-01-11,日用品,衛生用品,64,クリエイト,綿棒
2021-01-11,日用品,衛生用品,64,クリエイト,綿棒
2021-01-11,美容,コスメ,748,クリエイト,シェーディング
2021-01-11,美容,コスメ,660,クリエイト,マスカラ下地
2021-01-11,外食費,To Go,550,マクドナルド,マクドナルド
2021-01-11,外食費,外食,1243,スシロー,スシロー
2021-01-13,食品,葉物・生鮮野菜,140,わくわく広場,白菜
2021-01-13,食品,葉物・生鮮野菜,129,わくわく広場,キャベツ
2021-01-13,食品,葉物・生鮮野菜,129,わくわく広場,キャベツ
2021-01-13,食品,お菓子類,171,ロピア,歌舞伎揚
2021-01-13,食品,牛乳・乳製品,117,ロピア,ヨーグルト
2021-01-13,食品,豆腐・納豆類,85,ロピア,豆腐
2021-01-13,食品,お菓子類,105,ロピア,ぶどうゼリー
2021-01-13,食品,お菓子類,84,ロピア,シュークリーム
2021-01-13,食品,レトルト類・冷凍食品,160,ロピア,ほうれん草冷凍
2021-01-13,食品,野菜その他,430,ロピア,みかん
2021-01-13,食品,豆腐・納豆類,128,ロピア,薄揚げ
2021-01-15,食品,お菓子類,356,ロピア,ピノ
2021-01-15,食品,牛乳・乳製品,124,ロピア,牛乳
2021-01-15,食品,調味料,160,ロピア,ドライイースト
2021-01-15,食品,お菓子類,85,ロピア,チョコビスケット
2021-01-15,食品,たまご,106,ロピア,たまご
2021-01-15,食品,たまご,106,ロピア,たまご
2021-01-15,食品,お菓子類,258,ロピア,ロールケーキ
2021-01-15,食品,豆腐・納豆類,74,ロピア,納豆
2021-01-15,食品,豆腐・納豆類,74,ロピア,納豆
2021-01-15,食品,お菓子類,214,ロピア,ピザポテト
2021-01-15,食品,調味料,321,ロピア,ピエトロドレッシング
2021-01-15,食品,葉物・生鮮野菜,108,ロピア,ほうれん草
2021-01-15,食品,葉物・生鮮野菜,214,ロピア,長ネギ
2021-01-16,外食費,To Go,108,セブンイレブン,グミ
2021-01-16,外食費,To Go,330,マクドナルド,コーヒーなど
2021-01-16,食品,お菓子類,1024,もち吉,おかきなど
2021-01-16,外食費,外食,2400,サイゼリア,サイゼリア
2021-01-16,日用品,掃除用品,128,カインズ,指定ごみ袋小
2021-01-16,日用品,掃除用品,128,カインズ,指定ごみ袋小
2021-01-16,日用品,掃除用品,154,カインズ,指定ごみ袋プラ
2021-01-16,日用品,掃除用品,154,カインズ,指定ごみ袋プラ
2021-01-16,日用品,掃除用品,547,カインズ,トイレブラシ
2021-01-16,日用品,掃除用品,272,カインズ,お風呂ブラシ
2021-01-16,日用品,ペーパー類,305,カインズ,ティッシュ
2021-01-16,日用品,ペーパー類,305,カインズ,ティッシュ
2021-01-16,食品,調味料,898,Costco,料理酒
2021-01-16,食品,牛乳・乳製品,698,Costco,バター
2021-01-16,食品,調味料,1298,Costco,花かつお
2021-01-16,食品,根菜,698,Costco,玉ねぎ
2021-01-16,ガソリン・ETC,ガソリン,5421,Costco,ガソリン
2021-01-16,外食費,外食,1683,スシロー,スシロー
2021-01-17,外食費,外食,3366,寅福,幕張イオン　昼食
2021-01-17,衣類,natsukiインナー,1089,GU,奈月　パンツ
2021-01-17,衣類,tetta衣類,2189,UNIQLO,哲太　ジーパン
2021-01-17,外食費,外食,1529,サンマルク,サンマルク
2021-01-17,食品,ドリンク,1080,Nespresso,デカフェナート
2021-01-18,食品,パン,85,ロピア,食パン
2021-01-18,食品,葉物・生鮮野菜,108,ロピア,春菊
2021-01-18,食品,葉物・生鮮野菜,108,ロピア,ピーマン
2021-01-18,食品,野菜その他,106,ロピア,えのき
2021-01-18,食品,魚類・貝類,429,ロピア,ブリあら
2021-01-18,経費,tetta,2599,楽天,WEBカメラ
2021-01-19,食品,お菓子類,258,ロピア,シルベーヌ
2021-01-19,食品,麺類,322,ロピア,塩ラーメン
2021-01-19,食品,葉物・生鮮野菜,108,ロピア,キャベツ
2021-01-19,食品,葉物・生鮮野菜,214,ロピア,きゅうり
2021-01-19,食品,肉類,787,ロピア,鶏むね肉
2021-01-19,食品,レトルト類・冷凍食品,160,ロピア,小松菜　冷凍
2021-01-19,食品,レトルト類・冷凍食品,160,ロピア,小松菜　冷凍
2021-01-19,食品,豆腐・納豆類,74,ロピア,納豆
2021-01-21,美容,美容院,11600,美容室,カット＆カラー
2021-01-21,食品,レトルト類・冷凍食品,306,KALDI,カルボナーラソース
2021-01-21,食品,麺類,127,KALDI,パスタ
2021-01-21,食品,葉物・生鮮野菜,106,ロピア,大葉
2021-01-21,食品,魚類・貝類,626,ロピア,マグロ切り落とし
2021-01-21,食品,肉類加工品,316,ロピア,ベーコン厚切り
2021-01-21,食品,根菜,108,ロピア,大根
2021-01-21,食品,葉物・生鮮野菜,108,ロピア,小松菜
2021-01-21,食品,根菜,106,ロピア,しょうが
2021-01-22,医療費,診察料,5250,循環器科,哲太　検査
2021-01-22,外食費,To Go,860,セブンイレブン,サンドイッチなど
2021-01-23,外食費,To Go,127,セブンイレブン,飲むヨーグルト
2021-01-23,医療費,診察料,380,循環器科,哲太　検査
2021-01-23,外食費,外食,2380,カレー,インドカレー
2021-01-23,衣類,natsukiインナー,1936,イオン,ショーツ
2021-01-23,医療費,診察料,2640,整骨院,哲太奈月　整骨院
2021-01-24,外食費,外食,3740,和作,和作
2021-01-24,外食費,To Go,100,セブンイレブン,コーヒー
2021-01-24,食品,根菜,350,セブンイレブン,有機にんじん
2021-01-24,食品,葉物・生鮮野菜,129,アルカサール,小松菜
2021-01-24,食品,根菜,162,アルカサール,じゃがいも
2021-01-24,衣類,natsukiインナー,3938,UNIQLO,ヒートテックなど
2021-01-24,美容,スキンケア,1078,クリエイト,肌ラボジェル
2021-01-24,日用品,衛生用品,426,クリエイト,歯磨き粉
2021-01-24,日用品,日用品その他,712,クリエイト,目元ゆたぽん
2021-01-24,食品,お菓子類,258,ロピア,チョコパイ
2021-01-24,食品,お菓子類,171,ロピア,ポテチ
2021-01-24,食品,お菓子類,272,ロピア,パピコ
2021-01-24,食品,牛乳・乳製品,117,ロピア,ヨーグルト
2021-01-24,食品,豆腐・納豆類,85,ロピア,絹豆腐
2021-01-24,食品,お菓子類,150,ロピア,フルーチェ
2021-01-24,食品,野菜その他,711,ロピア,キムチ
2021-01-24,食品,食品その他,321,ロピア,味付け海苔
2021-01-24,食品,豆腐・納豆類,74,ロピア,納豆
2021-01-24,食品,豆腐・納豆類,74,ロピア,納豆
2021-01-24,食品,たまご,106,ロピア,たまご
2021-01-24,食品,たまご,106,ロピア,たまご
2021-01-24,食品,肉類,681,ロピア,国産豚こま
2021-01-24,食品,野菜その他,214,ロピア,しめじ
2021-01-24,食品,葉物・生鮮野菜,108,ロピア,サニーレタス
2021-01-24,食品,葉物・生鮮野菜,108,ロピア,サニーレタス
2021-01-24,食品,葉物・生鮮野菜,108,ロピア,小ねぎ
2021-01-25,交際費,宇野家関連,6830,Amazon,誕生日新聞・宇野父
2021-01-25,食品,粉類,439,KALDI,全粒粉
2021-01-25,食品,牛乳・乳製品,116,ヤオコー,牛乳
2021-01-26,経費,natsuki,1782,Amazon,本
2021-01-26,経費,natsuki,1348,Amazon,本
2021-01-26,家具・家電,家具,29999,楽天,デスク
2021-01-27,医療費,診察料,380,婦人科,診察料
2021-01-27,外食費,To Go,106,ヤオコー,メンチカツ
2021-01-27,食品,魚類・貝類,321,ヤオコー,いわし
2021-01-27,食品,葉物・生鮮野菜,257,ヤオコー,ミニトマト
2021-01-27,食品,野菜その他,213,ヤオコー,エリンギ
2021-01-27,食品,豆腐・納豆類,85,ヤオコー,納豆
2021-01-27,食品,葉物・生鮮野菜,27,ヤオコー,もやし
2021-01-27,食品,麺類,149,ヤオコー,きしめん
2021-01-27,食品,パン,138,ヤオコー,パン
2021-01-27,食品,パン,138,ヤオコー,パン
2021-01-27,食品,パン,108,ヤオコー,パン
2021-01-29,経費,natsuki,660,ダイソー,加湿器
2021-01-29,美容,ヘアケア,710,マツキヨ,ヘアミルク
2021-01-29,美容,ヘアケア,1118,マツキヨ,ヘアトリートメント
2021-01-29,外食費,To Go,298,ヤオコー,メンチカツ
2021-01-29,食品,魚類・貝類,1058,ヤオコー,刺し身
2021-01-29,食品,お菓子類,213,ヤオコー,チョコパイ
2021-01-29,食品,葉物・生鮮野菜,213,ヤオコー,レタス
2021-01-29,食品,野菜その他,170,ヤオコー,りんご
2021-01-29,食品,お菓子類,116,ヤオコー,醤油あげせん
2021-01-29,食品,お菓子類,192,ヤオコー,ポテチ
2021-01-29,食品,お菓子類,213,ヤオコー,ウエハース
2021-01-29,食品,葉物・生鮮野菜,170,ヤオコー,小松菜
2021-01-29,外食費,To Go,410,ヤオコー,とんかつ
2021-01-30,経費,natsuki,4138,ケーズデンキ,ウェブカメラ
2021-01-30,衣類,natsuki衣類,4697,UNIQLO,シャツ、カーディガンなど
2021-01-30,外食費,外食,10054,はな膳,はな膳
2021-01-30,外食費,外食,1350,コメダ珈琲,ケーキなど
2021-01-31,外食費,To Go,251,デイリー,コーヒ➖、パン
2021-01-31,外食費,外食,2220,モス,ランチ
2021-01-31,美容,スキンケア,525,クリエイト,ボディミルク
2021-01-31,美容,スキンケア,426,クリエイト,ハンドクリーム
2021-01-31,美容,スキンケア,426,クリエイト,ハンドクリーム
2021-01-31,美容,スキンケア,712,クリエイト,色つきリップ
2021-01-31,美容,スキンケア,316,クリエイト,リップクリーム
2021-01-31,美容,スキンケア,316,クリエイト,リップクリーム
2021-01-31,食品,お菓子類,138,ロピア,えびせんべい
2021-01-31,食品,牛乳・乳製品,117,ロピア,ヨーグルト
2021-01-31,食品,豆腐・納豆類,74,ロピア,納豆
2021-01-31,食品,ドリンク,74,ロピア,お茶
2021-01-31,食品,葉物・生鮮野菜,108,ロピア,キャベツ
2021-01-31,食品,根菜,275,ロピア,人参
2021-01-31,食品,葉物・生鮮野菜,326,ロピア,ピーマン
2021-01-31,食品,豆腐・納豆類,74,ロピア,納豆
2021-01-31,食品,葉物・生鮮野菜,171,ロピア,小松菜
2021-01-31,食品,葉物・生鮮野菜,106,ロピア,サニーレタス
2021-01-31,食品,葉物・生鮮野菜,106,ロピア,サニーレタス
2021-01-31,食品,お菓子類,272,ロピア,パルム抹茶
2021-01-31,食品,お菓子類,204,ロピア,雪見だいふく
2021-01-31,食品,魚類・貝類,1388,ロピア,サーモン刺身
2021-01-31,食品,葉物・生鮮野菜,430,ロピア,みかん
2021-01-31,食品,魚類・貝類,421,ロピア,サバ
2021-01-31,食品,肉類,280,ロピア,せせり
2021-01-31,食品,肉類,988,ロピア,鶏むね肉
2021-01-31,食品,肉類,825,ロピア,合いびき肉
2021-01-31,食品,レトルト類・冷凍食品,648,ロピア,カットトマト缶
2021-01-31,食品,肉類加工品,321,ロピア,ウインナー
2021-02-01,ローン,ローン住居,110000,イオン銀行,ローン
2021-02-01,ローン,ローン家電,11302,楽天銀行,Macローン
2021-02-01,保険,AIG損保,4410,哲太楽天銀行,車両保険(AIG損保)
2021-02-01,保険,アクサダイレクト,3280,哲太楽天銀行,アクサダイレクト
2021-02-01,保険,哲太メットライフ,5797,哲太楽天銀行,哲太メットライフ
2021-02-01,保険,奈月メットライフ,8467,楽天カード,奈月メットライフ
