日付,カテゴリ,小項目,金額,場所,商品名・メモ
2021-02-01,光熱費,電気,9505,楽天カード,楽天でんき
2021-02-01,光熱費,ガス,13625,楽天カード,東京ガス
2021-02-01,通信費,通信,687,楽天カード,ソネット
2021-02-01,通信費,通信,3361,楽天カード,ソネット
2021-02-01,通信費,ケータイ,2841,楽天カード,楽天モバイル
2021-02-01,税金,固定資産税,29000,コンビニ,固定資産税
2021-02-01,食品,粉類,4158,Nespresso,コーヒー
2021-02-01,医療費,医療費その他,3969,コンビニ,哲太　医療費未払い分
2021-02-01,交際費,宇野家関連,24100,楽天,バルミューダ
2021-02-05,外食費,外食,4363,スシロー,スシロー
2021-02-06,経費,natsuki,1780,楽天,ハブPCアクセサリ
2021-02-06,外食費,To Go,583,スタバ,フラペチーノ
2021-02-06,外食費,外食,3445,ビクドン,びっくりドンキー
2021-02-06,外食費,To Go,409,セブン,コーヒーなど
2021-02-06,レジャー,おでかけ,800,成田山,駐車場代
2021-02-06,経費,natsuki,484,ジョイフル本田,ノート
2021-02-06,日用品,日用品その他,2728,ジョイフル本田,サーモスマグ
2021-02-06,日用品,日用品その他,2178,ジョイフル本田,タイガーマグ
2021-02-06,日用品,衛生用品,404,ジョイフル本田,歯磨き粉
2021-02-06,日用品,キッチン用品,1155,ジョイフル本田,ラップ3本
2021-02-06,食品,ドリンク,70,ジョイフル本田,お茶
2021-02-06,食品,ドリンク,70,ジョイフル本田,お茶
2021-02-06,日用品,バス用品,896,ジョイフル本田,ビオレU
2021-02-06,食品,パン,170,ジャパンミート,食パン
2021-02-06,食品,豆腐・納豆類,74,ジャパンミート,納豆
2021-02-06,食品,牛乳・乳製品,159,ジャパンミート,ヨーグルト
2021-02-06,食品,牛乳・乳製品,149,ジャパンミート,ヨーグルト
2021-02-06,食品,調味料,127,ジャパンミート,カレールー
2021-02-06,食品,調味料,127,ジャパンミート,カレールー
2021-02-06,食品,お菓子類,203,ジャパンミート,おかき
2021-02-06,食品,たまご,95,ジャパンミート,たまご
2021-02-06,食品,お菓子類,203,ジャパンミート,ポテチ
2021-02-06,食品,麺類,213,ジャパンミート,讃岐うどん
2021-02-06,食品,レトルト類・冷凍食品,181,ジャパンミート,味噌汁レトルト
2021-02-06,食品,お菓子類,105,ジャパンミート,アルフォート
2021-02-06,食品,牛乳・乳製品,203,ジャパンミート,チーズ6P
2021-02-06,食品,お米,1717,ジャパンミート,無洗米
2021-02-06,食品,お米,1058,ジャパンミート,玄米
2021-02-06,経費,natsuki,524,amzon ,本
2021-02-07,外食費,外食,3520,まるみや,まるみや
2021-02-07,美容,スキンケア,712,福太郎,フェイスパック
2021-02-07,日用品,衛生用品,1264,福太郎,ナプキン
2021-02-07,食品,牛乳・乳製品,213,マルエツ,牛乳
2021-02-07,食品,お菓子類,246,マルエツ,プチシュー
2021-02-10,外食費,To Go,1949,ベルク,夜ご飯＆お酒
2021-02-11,ガソリン・ETC,ガソリン,6082,Enejet,ガソリン
2021-02-11,ガソリン・ETC,ガソリンその他,600,Enejet,洗車
2021-02-11,外食費,外食,3610,イタリアンKURO ,イタリアン
2021-02-11,食品,お菓子類,600,おせんべい,木下おせんべい屋さん
2021-02-12,外食費,To Go,318,ベルク,ヒレカツ
2021-02-12,外食費,To Go,200,ベルク,焼き鳥
2021-02-12,外食費,To Go,300,ベルク,ナムル
2021-02-12,外食費,To Go,300,ベルク,スパイシーきゅうり
2021-02-13,外食費,外食,10100,川崎苑,焼肉
2021-02-14,美容,美容その他,550,ドン・キホーテ,カーラー
2021-02-14,レジャー,趣味,3080,イオン,本図鑑
2021-02-14,日用品,バス用品,3121,クリエイト,薬湯
2021-02-14,美容,コスメ,308,クリエイト,リップグロス
2021-02-14,美容,コスメ,440,クリエイト,アイブロウ
2021-02-14,外食費,外食,1690,昼ごはん,フードコート
2021-02-14,外食費,外食,550,サーティーワン,クレープ
2021-02-14,食品,お菓子類,214,ロピア,アルフォート
2021-02-14,食品,お菓子類,214,ロピア,ポテチ
2021-02-14,食品,豆腐・納豆類,74,ロピア,納豆
2021-02-14,食品,豆腐・納豆類,74,ロピア,納豆
2021-02-14,食品,牛乳・乳製品,113,ロピア,ヨーグルト
2021-02-14,食品,豆腐・納豆類,85,ロピア,豆腐
2021-02-14,食品,野菜その他,711,ロピア,キムチ
2021-02-14,食品,牛乳・乳製品,117,ロピア,ヨーグルト
2021-02-14,食品,葉物・生鮮野菜,108,ロピア,キャベツ
2021-02-14,食品,レトルト類・冷凍食品,193,ロピア,ほうれん草冷凍
2021-02-14,食品,肉類加工品,753,ロピア,ウインナー
2021-02-14,食品,お菓子類,171,ロピア,歌舞伎揚
2021-02-14,食品,葉物・生鮮野菜,106,ロピア,白菜
2021-02-14,食品,葉物・生鮮野菜,108,ロピア,小松菜
2021-02-14,食品,葉物・生鮮野菜,108,ロピア,小松菜
2021-02-14,食品,たまご,106,ロピア,たまご
2021-02-14,食品,たまご,106,ロピア,たまご
2021-02-14,食品,野菜その他,430,ロピア,いちご
2021-02-14,食品,葉物・生鮮野菜,108,ロピア,きゅうり
2021-02-14,外食費,外食,3696,一幸,一幸
2021-02-16,医療費,診察料,1520,整骨院,整骨院
2021-02-20,経費,natsuki,372,イオン,付箋
2021-02-20,食品,お菓子類,159,イオン,ポテチ
2021-02-20,食品,お菓子類,159,イオン,ポテチ
2021-02-20,食品,レトルト類・冷凍食品,210,イオン,青の洞窟
2021-02-20,食品,レトルト類・冷凍食品,210,イオン,青の洞窟
2021-02-20,食品,レトルト類・冷凍食品,210,イオン,青の洞窟
2021-02-20,食品,レトルト類・冷凍食品,210,イオン,青の洞窟
2021-02-20,食品,レトルト類・冷凍食品,300,イオン,青の洞窟
2021-02-20,食品,ドリンク,149,イオン,檸檬堂
2021-02-20,食品,ドリンク,149,イオン,檸檬堂
2021-02-20,食品,ドリンク,149,イオン,檸檬堂
2021-02-20,食品,ドリンク,149,イオン,檸檬堂
2021-02-20,食品,麺類,354,イオン,チキンラーメン
2021-02-20,食品,調味料,127,イオン,青じそドレッシング
2021-02-20,食品,レトルト類・冷凍食品,451,イオン,ジェノベーゼソース
2021-02-20,食品,葉物・生鮮野菜,162,イオン,白菜
2021-02-20,食品,お菓子類,149,イオン,ポッキー
2021-02-20,食品,食品その他,267,イオン,しいたけ
2021-02-20,食品,葉物・生鮮野菜,170,イオン,小松菜
2021-02-20,食品,食品その他,105,イオン,えのき
2021-02-20,食品,パン,169,イオン,パン
2021-02-20,食品,調味料,278,イオン,チョレギドレッシング
2021-02-20,外食費,To Go,600,ビアードパパ,シュークリーム
2021-02-20,外食費,外食,4785,ジョリーパスタ,ジョリーパスタ
2021-02-20,外食費,To Go,100,セブン,コーヒー
2021-02-20,食品,豆腐・納豆類,64,イオン,納豆
2021-02-20,食品,豆腐・納豆類,64,イオン,納豆
2021-02-20,食品,ドリンク,159,イオン,SAVAS
2021-02-20,食品,ドリンク,159,イオン,SAVAS
2021-02-20,食品,牛乳・乳製品,170,イオン,ヨーグルト
2021-02-20,食品,肉類,730,イオン,サーロイン
2021-02-20,食品,肉類,591,イオン,鶏もも肉
2021-02-20,食品,たまご,213,イオン,たまご
2021-02-20,外食費,外食,4950,かねき,お寿司
2021-02-20,衣類,natsuki衣類,4989,イオン,洋服
2021-02-21,外食費,外食,4785,漫遊亭,漫遊亭
2021-02-21,外食費,To Go,100,セブンイレブン,お茶
2021-02-21,外食費,To Go,399,スタバ,コーヒー
2021-02-21,ガソリン・ETC,ガソリン,4832,Enejet,ガソリン
2021-02-21,ガソリン・ETC,ガソリンその他,6650,Enejet,オイル交換
2021-02-21,衣類,tetta衣類,3289,UNIQLO,ジーンズ
2021-02-21,衣類,tetta衣類,4389,UNIQLO,スキニー
2021-02-21,衣類,tetta衣類,3289,UNIQLO,スキニー
2021-02-21,衣類,natsuki衣類,2189,UNIQLO,ブラウス
2021-02-21,衣類,natsuki衣類,3289,UNIQLO,ニット
2021-02-23,日用品,薬類,1300,マツキヨ,エスタックイブ
2021-02-23,日用品,薬類,1800,マツキヨ,熱冷まし〜と
2021-02-23,日用品,衛生用品,690,マツキヨ,マスク抗菌スプレー
2021-02-23,日用品,薬類,440,マツキヨ,鼻スプレー
2021-02-23,食品,ドリンク,159,ヤオコー,SAVAS
2021-02-23,食品,ドリンク,159,ヤオコー,SAVAS
2021-02-23,食品,ドリンク,159,ヤオコー,SAVAS
2021-02-23,食品,ドリンク,159,ヤオコー,SAVAS
2021-02-23,食品,お菓子類,138,ヤオコー,シュークリーム
2021-02-23,食品,お菓子類,138,ヤオコー,シュークリーム
2021-02-23,食品,肉類,523,ヤオコー,豚しゃぶ
2021-02-23,食品,肉類,536,ヤオコー,豚しゃぶ
2021-02-23,食品,肉類,598,ヤオコー,豚しゃぶ
2021-02-23,食品,魚類・貝類,304,ヤオコー,鮭
2021-02-23,外食費,To Go,537,ヤオコー,はらこ飯弁当
2021-02-23,外食費,To Go,298,ヤオコー,メンチカツ
2021-02-23,外食費,外食,3773,高橋水産,高橋水産
2021-02-23,日用品,薬類,1119,マツキヨ,目薬
2021-02-23,医療費,診察料,4000,哲太病院,哲太病院
2021-02-26,外食費,To Go,2170,スシロー,スシロー
2021-02-27,美容,美容その他,14720,新幹線,品川〜大阪
2021-02-27,美容,美容その他,370,新幹線,コーヒー
2021-02-27,美容,美容その他,260,キオスク,サンドイッチ
2021-02-27,美容,美容皮膚科,99000,浜口クリニック,フォトナ3D
2021-02-27,美容,美容その他,1650,美々卯,天丼
2021-02-27,レジャー,レジャーその他,1610,蓬莱,豚まん
2021-02-27,レジャー,レジャーその他,775,御座候,御座候
2021-02-27,美容,美容その他,13650,新幹線,大阪〜品川
2021-02-27,美容,美容その他,530,新幹線,コーヒーお茶
2021-02-28,外食費,外食その他,600,駐車場,駐車場
2021-02-28,外食費,外食,9977,肉バルヤマト,肉バルヤマト
2021-02-28,外食費,To Go,469,ローソン,コーヒー、アイス
2021-02-28,食品,パン,159,イオン,食パン
2021-02-28,食品,肉類加工品,375,イオン,ウインナー
2021-02-28,食品,牛乳・乳製品,149,イオン,ヨーグルト
2021-02-28,食品,牛乳・乳製品,127,イオン,ヨーグルト
2021-02-28,食品,豆腐・納豆類,64,イオン,納豆
2021-02-28,食品,豆腐・納豆類,64,イオン,納豆
2021-02-28,食品,野菜その他,91,イオン,しめじ
2021-02-28,食品,麺類,354,イオン,塩ラーメン
2021-02-28,食品,お菓子類,321,イオン,おかき
2021-02-28,食品,お菓子類,321,イオン,ローカーウエハース
2021-02-28,食品,麺類,375,イオン,うまかっちゃん
2021-02-28,食品,たまご,213,イオン,たまご
2021-02-28,食品,お菓子類,159,イオン,ポテチ
2021-02-28,食品,お菓子類,149,イオン,ぼんち揚
2021-02-28,食品,お菓子類,116,イオン,春ポテト
2021-03-01,ローン,ローン住居,110000,イオン銀行,ローン
2021-03-01,ローン,ローン家電,11302,楽天銀行,Macローン
2021-03-01,保険,AIG損保,4410,哲太楽天銀行,車両保険(AIG損保)
2021-03-01,保険,アクサダイレクト,3280,哲太楽天銀行,アクサダイレクト
2021-03-01,保険,哲太メットライフ,5797,哲太楽天銀行,哲太メットライフ
2021-03-01,保険,奈月メットライフ,8467,楽天カード,奈月メットライフ
