日付,カテゴリ,小項目,金額,場所,商品名・メモ
2022-01-01,ローン,ローン住居,110000,イオン銀行,ローン
2022-01-01,ローン,ローン家電,11302,楽天銀行,Macローン
2022-01-01,保険,AIG損保,4410,哲太楽天銀行,車両保険(AIG損保)
2022-01-01,保険,アクサダイレクト,3280,哲太楽天銀行,アクサダイレクト
2022-01-01,保険,哲太メットライフ,5797,哲太楽天銀行,哲太メットライフ
2022-01-01,保険,奈月メットライフ,8467,楽天カード,奈月メットライフ
2022-01-01,光熱費,下水道,3404,コンビニ,下水道（2ヶ月毎）
2022-01-01,光熱費,水道,5180,りそな銀行,水道局（2ヶ月毎）
2022-01-01,光熱費,電気,10595,楽天カード,東京電力
2022-01-01,光熱費,ガス,22663,楽天カード,東京ガス
2022-01-01,通信費,通信,687,楽天カード,ソネット
2022-01-01,通信費,通信,3361,楽天カード,ソネット
2022-01-01,通信費,ケータイ,3086,楽天カード,携帯
2022-01-01,通信費,ケータイ,3402,哲太カード,携帯
2022-01-01,レジャー,趣味,19800,オリコ,ジョイフルアスレティッククラブ
2022-01-01,保険,保険その他,1370,ソニー損保,追加分
2022-01-01,レジャー,旅行,180,ファミマ,コーヒー
2022-01-01,レジャー,旅行,740,セブンイレブン,レモンサワー、おにぎり等
2022-01-01,レジャー,旅行,5800,居酒屋（水戸）,居酒屋（水戸）
2022-01-01,レジャー,旅行,12600,水戸ホテル,ウエストヒルズ水戸
2022-01-02,レジャー,旅行,340,美野里SA,コーヒー
2022-01-03,食品,ドリンク,2106,Nespresso,コーヒー
2022-01-03,ガソリン・ETC,ガソリン,5192,Enejet,ガソリン
2022-01-03,外食費,To Go,1701,アリオ,お寿司
2022-01-03,日用品,キッチン用品,770,セリア,プレート
2022-01-03,食品,葉物・生鮮野菜,641,マルエツ,ブロッコリー
2022-01-03,食品,葉物・生鮮野菜,173,ベルク,ミニトマト
2022-01-03,食品,根菜,96,ベルク,大根
2022-01-03,食品,野菜その他,327,ベルク,みかん
