日付,カテゴリ,小項目,金額,場所,商品名・メモ
2024-01-01,ローン,ローン住居,110000,イオン銀行,ローン
2024-01-01,保険,保険その他,5382,哲太楽天銀行,ネオファースト生命
2024-01-01,保険,哲太メットライフ,5797,奈月楽天銀行,哲太メットライフ
2024-01-01,保険,奈月メットライフ,8467,楽天カード,奈月メットライフ
2024-01-01,光熱費,下水道,3642,コンビニ,下水道（2ヶ月毎）
2024-01-01,光熱費,水道,5520,りそな銀行,水道局（2ヶ月毎）
2024-01-01,光熱費,電気,8366,楽天カード,東京電力
2024-01-01,光熱費,ガス,10830,楽天カード,東京ガス
2024-01-01,通信費,通信,687,楽天カード,ソネット
2024-01-01,通信費,通信,5390,楽天カード,ソネット
2024-01-01,通信費,ケータイ,3831,楽天カード,楽天モバイル
2024-01-01,レジャー,趣味,26400,楽天銀行,アキュラシーゴルフ
2024-01-01,レジャー,レジャーその他,1490,Netflix,Netflix
2024-01-01,経費,tetta,3986,tetta社用ケータイ,哲太社用ケータイ
2024-01-01,経費,tetta,42000,哲太出社時食事代（出社日数＊2000円）,21.0
2024-01-01,経費,tetta,1200,翻訳アプリ,哲太経費
2024-01-01,経費,tetta,1496,Googleアプリ,哲太経費
2024-01-01,経費,natsuki,130,Applecombill,ギガ
2024-01-01,レジャー,趣味,17000,楽天銀行,Lava
2024-01-01,経費,tetta,53430,定期代,哲太定期代
2024-01-01,レジャー,旅行,690,ドトール,成田空港
2024-01-01,レジャー,旅行,130,宮崎空港,お茶
2024-01-01,レジャー,旅行,2560,宮崎,ガソリン
2024-01-01,レジャー,旅行,150,宮崎道路,通行量
2024-01-01,レジャー,旅行,2265,宮崎空港,お弁当など
2024-01-01,ガソリン・ETC,ガソリン,7680,Enejet,ガソリン
2024-01-01,外食費,外食,2700,ガスト,ごはん
2024-01-02,衣類,natsukiインナー,6210,モンベル,モンベルシャツ
2024-01-02,外食費,外食,5300,レイクタウン,李さんの台所食べ放題
2024-01-02,衣類,natsuki衣類,8800,レイクタウン,奈月ヨガズボン
2024-01-02,外食費,To Go,589,スタバ,コーヒー
2024-01-02,外食費,To Go,390,スタバ,コーヒー
2024-01-03,外食費,外食,1310,ラゾーナ川崎,パンダエキスプレス
2024-01-03,外食費,外食,1600,ラゾーナ川崎,ハワイアンご飯
2024-01-03,衣類,natsukiインナー,990,ユニクロ,靴下
2024-01-03,外食費,To Go,295,サンワ,お茶、ヨーグルッペ
2024-01-03,日用品,薬類,880,DHC,ニキビの薬
2024-01-03,レジャー,おでかけ,800,ラゾーナ川崎,駐車場
2024-01-05,日用品,バス用品,1561,マツキヨ,入浴剤など
2024-01-05,日用品,日用品その他,990,ダイソー,綿棒、キューブケースなど
2024-01-05,食品,調味料,294,ヤオコー,料理清酒
2024-01-05,食品,牛乳・乳製品,783,ヤオコー,オイコス
2024-01-05,食品,根菜,195,ヤオコー,大根
2024-01-05,食品,肉類加工品,437,ヤオコー,シャウエッセン
2024-01-05,食品,魚類・貝類,799,ヤオコー,たこ
2024-01-05,食品,たまご,294,ヤオコー,たまご
2024-01-05,食品,魚類加工品,228,ヤオコー,さつま揚げ
2024-01-05,食品,野菜その他,217,ヤオコー,こんにゃく
2024-01-05,食品,肉類,543,ヤオコー,鳥手羽元
2024-01-05,食品,魚類加工品,185,ヤオコー,ちくわ
2024-01-05,食品,魚類加工品,283,ヤオコー,ごぼ天
2024-01-05,食品,葉物・生鮮野菜,78,ヤオコー,白菜
2024-01-05,外食費,To Go,174,ヤオコー,厚焼き玉子
2024-01-05,食品,葉物・生鮮野菜,437,ヤオコー,七草セット
2024-01-06,外食費,To Go,619,イオン,さつまいも、ザバス
2024-01-06,日用品,日用品その他,880,スリーコインズ,バスタオル、スマホストラップ
2024-01-06,日用品,バス用品,396,イオン,入浴剤
2024-01-06,日用品,バス用品,602,イオン,入浴剤
2024-01-06,美容,コスメ,2970,イオン,クリオクッションファンデ
2024-01-07,車関連【車検・税金・積立】,車関連その他,9653,オートランナー,オイル交換
2024-01-07,経費,natsuki,1421,ベターホーム,和食の本
2024-01-07,美容,美容院,20180,美容室,奈月美容室、シャンプー
2024-01-07,美容,ヘアケア,4510,マツキヨ,ヘアミルクなど
2024-01-07,外食費,外食,3872,かつ太郎,かつ太郎
2024-01-07,外食費,To Go,110,セブン,コーヒー
2024-01-07,食品,魚類・貝類,1071,ヤオコー,ぶり
2024-01-07,食品,肉類,755,ヤオコー,和牛切り落とし
2024-01-07,食品,ドリンク,437,ヤオコー,紅茶イエローラベル
2024-01-07,食品,お菓子類,283,ヤオコー,カレドカカオ
2024-01-07,食品,お菓子類,261,ヤオコー,アーモンドクッキー
2024-01-07,食品,肉類,550,ヤオコー,手羽元
2024-01-07,食品,牛乳・乳製品,327,ヤオコー,アーモンドミルク
2024-01-07,食品,豆腐・納豆類,151,ヤオコー,焼き豆腐
2024-01-07,食品,牛乳・乳製品,206,ヤオコー,クロレラ鉄分
2024-01-07,食品,麺類,217,ヤオコー,焼きそば
2024-01-07,食品,野菜その他,437,ヤオコー,みかん
2024-01-07,食品,ドリンク,333,ヤオコー,緑茶茶葉
2024-01-07,食品,お菓子類,129,ヤオコー,シュークリーム
2024-01-07,食品,お菓子類,173,ヤオコー,ハイチュウ
2024-01-07,食品,調味料,327,ヤオコー,味噌鍋つゆ
2024-01-07,食品,葉物・生鮮野菜,173,ヤオコー,春菊
2024-01-07,食品,葉物・生鮮野菜,217,ヤオコー,長ネギ
2024-01-07,食品,葉物・生鮮野菜,108,ヤオコー,みずな
2024-01-08,経費,tetta,1080,Apple,Apple Music　住友カード
