日付,カテゴリ,小項目,金額,場所,商品名・メモ
2020-06-01,ローン,キッチン家電,20800,楽天銀行,冷蔵庫ローン
2020-06-01,ローン,PC,11302,楽天銀行,Macローン
2020-06-01,保険,AIG損保,4410,哲太楽天銀行,車両保険(AIG損保)
2020-06-01,保険,アクサダイレクト,3280,哲太楽天銀行,アクサダイレクト
2020-06-01,保険,哲太メットライフ,5797,哲太楽天銀行,哲太メットライフ
2020-06-01,保険,奈月メットライフ,8467,楽天カード,奈月メットライフ
2020-06-01,光熱費,電気,3607,楽天カード,東京電力
2020-06-01,光熱費,ガス,8180,楽天カード,東京ガス
2020-06-01,通信費,通信,687,楽天カード,ソネット
2020-06-01,通信費,通信,3361,楽天カード,ソネット
2020-06-01,通信費,ケータイ,1509,楽天カード,楽天モバイル
2020-06-01,通信費,ケータイ,1389,楽天カード,楽天モバイル
2020-06-01,税金,固定資産,29000,コンビニ,固定資産税
2020-06-05,食品,粉類,298,costco,ロメインレタス
2020-06-05,食品,食品その他,1342,costco,サラダチキン
2020-06-05,食品,計,1158,costco,さくら鶏ムネ
2020-06-05,食品,肉類,2509,costco,国産豚コマ
2020-06-05,食品,調味料,598,costco,円熟味噌
2020-06-05,食品,食品その他,698,costco,キムチ
2020-06-05,食品,ドリンク,968,costco,コーヒー粉
2020-06-05,食品,根菜,598,costco,玉ねぎ　12個
2020-06-05,食品,野菜その他,298,costco,カットしめじ
2020-06-05,食品,葉物・生鮮野菜,598,costco,白ネギ
2020-06-05,外食費,持ち帰り,300,costco,ピザ
2020-06-05,外食費,持ち帰り,300,costco,ピザ
2020-06-05,外食費,持ち帰り,240,costco,ソフトクリーム
2020-06-05,食品,葉物・生鮮野菜,140,アルカサール,キャベツ 
2020-06-05,食品,葉物・生鮮野菜,70,アルカサール,ニラ
2020-06-05,食品,葉物・生鮮野菜,130,アルカサール,きゅうり
2020-06-05,食品,葉物・生鮮野菜,130,アルカサール,ピーマン
2020-06-05,食品,葉物・生鮮野菜,150,アルカサール,ナス
2020-06-05,食品,根菜,500,アルカサール,とうもろこし
2020-06-05,食品,葉物・生鮮野菜,230,アルカサール,トマト
2020-06-05,日用品,キッチン用品,1780,楽天,真空パック
2020-06-06,外食費,外食,6930,扇寿司,寿司
2020-06-06,家具・家電,空調家電,22000,ケーズデンキ,Dyson冷風機
2020-06-06,食品,お菓子類,278,ヤオコー,レモンパウンドケーキ
2020-06-06,食品,牛乳・乳製品,168,ヤオコー,ビフィックス
2020-06-06,食品,お菓子類,189,ヤオコー,野菜ゼリー
2020-06-06,食品,お菓子類,198,ヤオコー,スティックゼリー
2020-06-06,食品,パン,139,ヤオコー,超熟
